iter	Passed	Remaining
0	1	103
1	1	93
2	2	90
3	3	82
4	4	89
5	5	89
6	6	88
7	7	87
8	8	86
9	9	84
10	10	82
11	11	81
12	12	82
13	13	81
14	14	79
15	14	78
16	15	77
17	16	76
18	17	75
19	18	74
20	19	73
21	20	72
22	21	71
23	22	70
24	23	70
25	24	69
26	25	68
27	25	66
28	26	65
29	27	64
30	28	63
31	29	62
32	30	61
33	31	60
34	32	59
35	32	58
36	33	57
37	34	56
38	35	55
39	36	54
40	37	53
41	37	51
42	38	50
43	39	49
44	39	48
45	40	47
46	41	47
47	42	46
48	43	45
49	44	44
50	45	43
51	46	42
52	47	42
53	48	41
54	49	40
55	50	39
56	51	38
57	52	37
58	52	36
59	54	36
60	55	35
61	56	34
62	57	33
63	58	32
64	58	31
65	60	30
66	61	30
67	61	29
68	62	28
69	63	27
70	64	26
71	65	25
72	66	24
73	67	23
74	68	22
75	69	21
76	70	21
77	71	20
78	72	19
79	73	18
80	74	17
81	75	16
82	76	15
83	76	14
84	77	13
85	78	12
86	79	11
87	80	10
88	81	10
89	82	9
90	83	8
91	84	7
92	85	6
93	85	5
94	86	4
95	87	3
96	88	2
97	89	1
98	89	0
99	90	0
